"Timestamp","Age","Gender","Purchase_Frequency","Purchase_Categories","Personalized_Recommendation_Frequency_6","Browsing_Frequency","Product_Search_Method","Search_Result_Exploration","Customer_Reviews_Importance","Add_to_Cart_Browsing","Cart_Completion_Frequency","Cart_Abandonment_Factors","Saveforlater_Frequency","Review_Left","Review_Reliability","Review_Helpfulness","Personalized_Recommendation_Frequency_18","Recommendation_Helpfulness","Rating_Accuracy","Shopping_Satisfaction","Service_Appreciation","Improvement_Areas","Purchase_Frequency_Encode"
2023-06-09,34,"Female","Once a week","Home and Kitchen","No","Few times a week","Filter","Multiple pages",3,"No","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Moderately","Yes",2,"Sometimes",2,2,"Competitive prices","Reducing packaging waste",4
2023-06-09,25,"Female","Less than once a month","others","Sometimes","Rarely","categories","First page",3,"Maybe","Rarely","Found a better price elsewhere","Never","No","Never","Sometimes",3,"Sometimes",3,3,"Product recommendations","Shipping speed and reliability",1
2023-06-09,32,"Male","Less than once a month","others","Sometimes","Rarely","categories","First page",1,"No","Always","Changed my mind or no longer need the item","Never","No","Moderately","Yes",2,"Sometimes",2,2,"Wide product selection","Customer service responsiveness",1
2023-06-09,24,"Female","Few times a month","Home and Kitchen","Yes","Few times a week","Keyword","First page",1,"Yes","Often","others","Sometimes","Yes","Heavily","Yes",2,"Yes",2,2,"Wide product selection","Product quality and accuracy",3
2023-06-09,34,"Female","Few times a month","Clothing and Fashion","Sometimes","Few times a month","categories","Multiple pages",3,"Maybe","Rarely","Changed my mind or no longer need the item","Rarely","No","Never","Sometimes",5,"No",1,3,"Product recommendations","Reducing packaging waste",3
2023-06-09,44,"Male","Once a week","Beauty and Personal Care","Sometimes","Few times a week","categories","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Occasionally","Sometimes",3,"Sometimes",3,3,"Product recommendations","Reducing packaging waste",4
2023-06-09,23,"Female","Once a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Sometimes","Few times a week","Filter","Multiple pages",2,"Maybe","Sometimes","Changed my mind or no longer need the item","Rarely","Yes","Moderately","Sometimes",2,"No",2,1,"Wide product selection","Customer service responsiveness",4
2023-06-09,23,"Female","Few times a month","Clothing and Fashion","Sometimes","Rarely","categories","First page",3,"No","Sometimes","Found a better price elsewhere","Often","Yes","Moderately","No",3,"No",4,2,"Product recommendations","Customer service responsiveness",3
2023-06-09,34,"Female","Once a week","Beauty and Personal Care","Sometimes","Few times a month","Keyword","Multiple pages",4,"Maybe","Often","Found a better price elsewhere","Sometimes","Yes","Occasionally","Sometimes",3,"No",2,2,"Product recommendations","Reducing packaging waste",4
2023-06-09,23,"Female","Once a week","Beauty and Personal Care;Clothing and Fashion","Yes","Multiple times a day","Filter","First page",3,"No","Often","Found a better price elsewhere","Often","Yes","Occasionally","No",3,"Yes",1,4,"Competitive prices","Reducing packaging waste",4
2023-06-09,36,"Female","Once a month","Home and Kitchen","No","Few times a week","categories","Multiple pages",3,"Yes","Sometimes","Found a better price elsewhere","Sometimes","No","Occasionally","Yes",3,"Yes",3,2,"User-friendly website/app interface","Product quality and accuracy",2
2023-06-09,24,"Female","Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others","Sometimes","Multiple times a day","Keyword","Multiple pages",2,"Yes","Sometimes","Changed my mind or no longer need the item","Often","Yes","Occasionally","No",3,"No",3,3,"Competitive prices","Customer service responsiveness",3
2023-06-09,21,"Female","Once a week","Beauty and Personal Care;Clothing and Fashion;others","No","Few times a week","Filter","Multiple pages",4,"Yes","Often","High shipping costs","Always","Yes","Heavily","Yes",3,"Yes",3,3,"Product recommendations","Reducing packaging waste",4
2023-06-09,21,"Female","Few times a month","Clothing and Fashion","Sometimes","Few times a week","categories","Multiple pages",3,"Yes","Often","Found a better price elsewhere","Sometimes","Yes","Moderately","Yes",2,"Yes",2,2,"Competitive prices","Customer service responsiveness",3
2023-06-09,45,"Male","Once a month","Clothing and Fashion","Sometimes","Multiple times a day","Keyword","Multiple pages",3,"Maybe","Always","Found a better price elsewhere","Often","Yes","Occasionally","Yes",2,"No",3,2,"Competitive prices","Product quality and accuracy",2
2023-06-09,21,"Female","Once a week","Beauty and Personal Care","Sometimes","Few times a month","Filter","Multiple pages",2,"Maybe","Often","Found a better price elsewhere","Often","No","Occasionally","No",2,"Sometimes",2,2,"Competitive prices","Customer service responsiveness",4
2023-06-09,23,"Female","Once a week","Clothing and Fashion","Yes","Few times a week","categories","First page",3,"Maybe","Often","Found a better price elsewhere","Sometimes","Yes","Moderately","Yes",2,"Sometimes",2,2,"Product recommendations","Reducing packaging waste",4
2023-06-09,21,"Female","Once a week","Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen","Yes","Few times a month","Keyword","First page",2,"No","Sometimes","Changed my mind or no longer need the item","Rarely","Yes","Moderately","Yes",3,"Sometimes",1,1,"Product recommendations","Reducing packaging waste",4
2023-06-09,34,"Female","Once a month","Clothing and Fashion","Sometimes","Few times a week","categories","Multiple pages",2,"Maybe","Often","Changed my mind or no longer need the item","Sometimes","Yes","Moderately","Sometimes",2,"No",3,3,"Product recommendations","Reducing packaging waste",2
2023-06-09,21,"Female","Few times a month","Beauty and Personal Care","Sometimes","Few times a month","categories","Multiple pages",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Rarely","Yes","Rarely","Sometimes",2,"Sometimes",3,3,"Product recommendations","Reducing packaging waste",3
2023-06-09,23,"Female","Once a week","Clothing and Fashion","Sometimes","Few times a month","Filter","Multiple pages",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",2,"No",4,3,"Product recommendations","Customer service responsiveness",4
2023-06-09,21,"Female","Once a week","Groceries and Gourmet Food;Clothing and Fashion;others","Sometimes","Few times a month","categories","Multiple pages",3,"Maybe","Sometimes","Found a better price elsewhere","Sometimes","No","Moderately","Sometimes",3,"Sometimes",3,4,"Product recommendations","Reducing packaging waste",4
2023-06-09,32,"Female","Once a month","others","Sometimes","Few times a month","others","First page",2,"No","Rarely","others","Rarely","Yes","Moderately","No",3,"No",3,3,"Product recommendations","Customer service responsiveness",2
2023-06-09,35,"Prefer not to say","Once a week","Groceries and Gourmet Food","No","Few times a week","Filter","Multiple pages",2,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",4,"Sometimes",3,2,"Competitive prices","Customer service responsiveness",4
2023-06-09,37,"Male","Once a month","Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen","Yes","Few times a week","Filter","Multiple pages",2,"Maybe","Rarely","Changed my mind or no longer need the item","Sometimes","No","Rarely","Sometimes",2,"Sometimes",2,1,"Product recommendations","Reducing packaging waste",2
2023-06-09,23,"Female","Once a week","Clothing and Fashion","No","Few times a month","categories","Multiple pages",2,"Yes","Often","Found a better price elsewhere","Often","No","Occasionally","Yes",1,"Sometimes",4,2,"Product recommendations","Reducing packaging waste",4
2023-06-09,33,"Others","Few times a month","Clothing and Fashion","Sometimes","Few times a month","others","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",3,"Sometimes",3,2,"Competitive prices","Customer service responsiveness",3
2023-06-09,35,"Female","Few times a month","Clothing and Fashion;Home and Kitchen","Sometimes","Few times a month","categories","Multiple pages",4,"Maybe","Rarely","Found a better price elsewhere","Sometimes","Yes","Occasionally","Sometimes",2,"Sometimes",3,2,"Product recommendations","Reducing packaging waste",3
2023-06-09,44,"Female","Once a week","Clothing and Fashion","Sometimes","Few times a week","categories","Multiple pages",3,"Maybe","Rarely","Changed my mind or no longer need the item","Sometimes","Yes","Occasionally","Sometimes",3,"Sometimes",4,4,"Product recommendations","Reducing packaging waste",4
2023-06-09,34,"Male","Once a week","Clothing and Fashion","Sometimes","Few times a month","categories","Multiple pages",4,"Maybe","Often","others","Often","No","Moderately","Sometimes",2,"Sometimes",3,2,"Competitive prices","Reducing packaging waste",4
2023-06-09,34,"Prefer not to say","Once a month","Clothing and Fashion","No","Few times a month","categories","Multiple pages",2,"No","Sometimes","Found a better price elsewhere","Often","Yes","Occasionally","No",2,"Sometimes",3,3,"Competitive prices","Customer service responsiveness",2
2023-06-09,34,"Female","Few times a month","others","No","Few times a month","categories","First page",2,"Maybe","Sometimes","Changed my mind or no longer need the item","Often","No","Occasionally","No",1,"No",3,1,"Competitive prices","Customer service responsiveness",3
2023-06-09,34,"Female","Few times a month","Clothing and Fashion","No","Few times a week","Filter","Multiple pages",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Rarely","Yes","Rarely","Sometimes",2,"Sometimes",2,1,"Competitive prices","Reducing packaging waste",3
2023-06-09,3,"Prefer not to say","Once a month","Home and Kitchen","No","Few times a week","categories","First page",3,"No","Sometimes","Found a better price elsewhere","Often","Yes","Occasionally","Sometimes",3,"Sometimes",3,2,"Competitive prices","Customer service responsiveness",2
2023-06-09,23,"Female","Multiple times a week","Beauty and Personal Care","No","Few times a week","categories","Multiple pages",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Occasionally","Sometimes",3,"Sometimes",3,2,"Competitive prices","Product quality and accuracy",5
2023-06-09,33,"Female","Few times a month","Clothing and Fashion","Yes","Multiple times a day","categories","Multiple pages",4,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Occasionally","Sometimes",3,"Sometimes",3,1,"Wide product selection","Customer service responsiveness",3
2023-06-09,23,"Female","Few times a month","Clothing and Fashion","Sometimes","Rarely","others","First page",3,"Maybe","Rarely","others","Never","No","Rarely","Sometimes",3,"No",3,3,"Competitive prices","Reducing packaging waste",3
2023-06-09,34,"Female","Few times a month","Groceries and Gourmet Food;Home and Kitchen","Sometimes","Few times a month","Filter","Multiple pages",3,"Maybe","Rarely","Changed my mind or no longer need the item","Sometimes","Yes","Moderately","Yes",1,"Sometimes",3,2,"Competitive prices","Reducing packaging waste",3
2023-06-09,23,"Female","Few times a month","Beauty and Personal Care;Home and Kitchen","Sometimes","Few times a month","Filter","Multiple pages",2,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Yes",3,"Sometimes",3,4,"Product recommendations","Reducing packaging waste",3
2023-06-09,34,"Prefer not to say","Once a week","Clothing and Fashion","Sometimes","Few times a month","categories","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",2,"Sometimes",2,3,"Product recommendations","Customer service responsiveness",4
2023-06-09,23,"Female","Few times a month","Clothing and Fashion","Yes","Multiple times a day","Keyword","Multiple pages",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Often","Yes","Heavily","Sometimes",3,"Sometimes",3,3,"Product recommendations","Reducing packaging waste",3
2023-06-09,23,"Female","Once a week","Beauty and Personal Care","Sometimes","Few times a month","categories","Multiple pages",2,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",2,"Sometimes",4,3,"Product recommendations","Reducing packaging waste",4
2023-06-09,23,"Female","Once a week","Beauty and Personal Care;Home and Kitchen","Sometimes","Few times a week","categories","First page",1,"Maybe","Sometimes","Found a better price elsewhere","Always","Yes","Moderately","Sometimes",3,"Sometimes",4,1,"Product recommendations","Reducing packaging waste",4
2023-06-09,23,"Prefer not to say","Once a month","Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen","Sometimes","Few times a month","categories","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Moderately","Sometimes",2,"Sometimes",2,2,"Product recommendations","Reducing packaging waste",2
2023-06-09,45,"Female","Few times a month","Beauty and Personal Care;others","Sometimes","Few times a month","categories","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Rarely","Sometimes",3,"No",2,3,"Product recommendations","Customer service responsiveness",3
